address,label,category,confidence,source
cosmos1024dxg29cnwq6ljvwgt284xkk5xgmep79rtw5g,Upbit #18 (Staking),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1024dxg29cnwq6ljvwgt284xkk5xgmep79rtw5g
cosmos102pcnjqspyrfplhdccrz8usg5qhxjxv5a0q9dx,Upbit #17 (Staking),exchange,high,https://www.mintscan.io/cosmos/account/cosmos102pcnjqspyrfplhdccrz8usg5qhxjxv5a0q9dx
cosmos144fzpepuvdftv4u4r9kq8t35ap2crruv4u3udz,OKK #01,exchange,high,https://www.mintscan.io/cosmos/account/cosmos144fzpepuvdftv4u4r9kq8t35ap2crruv4u3udz
cosmos144sh8vyv5nqfylmg4mlydnpe3l4w780jsrmf4k,MEXC #01 (Deposit),exchange,high,https://www.mintscan.io/cosmos/account/cosmos144sh8vyv5nqfylmg4mlydnpe3l4w780jsrmf4k
cosmos176nve774xk0wvtw6atn4vtg9w2nejcscqzd0fm,Upbit #12 (Staking),exchange,high,https://www.mintscan.io/cosmos/account/cosmos176nve774xk0wvtw6atn4vtg9w2nejcscqzd0fm
cosmos1erzjr93gcqgvcs7azqaglrjqy5ntzn3da5p340,Bithumb #01 (Deposit),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1erzjr93gcqgvcs7azqaglrjqy5ntzn3da5p340
cosmos1helwgzrpwqvjsgv5nrflwdc68n5dtcffwgnegu,Upbit #14 (Staking),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1helwgzrpwqvjsgv5nrflwdc68n5dtcffwgnegu
cosmos1kglms05v6jlazkdeel46h0famvpredkluu7c4w,Upbit #19 (Staking),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1kglms05v6jlazkdeel46h0famvpredkluu7c4w
cosmos1l0znsvddllw9knha3yx2svnlxny676d8ns7uys,Binance #03 (Withdraw),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1l0znsvddllw9knha3yx2svnlxny676d8ns7uys
cosmos1nm0rrq86ucezaf8uj35pq9fpwr5r82cl8sc7p5,Kraken #01,exchange,high,https://www.mintscan.io/cosmos/account/cosmos1nm0rrq86ucezaf8uj35pq9fpwr5r82cl8sc7p5
cosmos1p3ucd3ptpw902fluyjzhq3ffgq4ntddac9sa3s,Binance #04 (Staking),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1p3ucd3ptpw902fluyjzhq3ffgq4ntddac9sa3s
cosmos1p955frzccu3frnwfnk6hry7ffhpqu00pk2jkn3,Bitforex #01 (Deposit),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1p955frzccu3frnwfnk6hry7ffhpqu00pk2jkn3
cosmos1peha5yfjnt2ua8x7th85say0pmm9t5mj35angp,Upbit #16 (Staking),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1peha5yfjnt2ua8x7th85say0pmm9t5mj35angp
cosmos1pnfunk0cl7lpwyrxw7m57kt74zd6g2qh4udppy,Upbit #11 (Staking),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1pnfunk0cl7lpwyrxw7m57kt74zd6g2qh4udppy
cosmos1rh65gtzdeavc45t7ylmurvhyd0hcht9hkdg7fz,Upbit #15 (Staking),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1rh65gtzdeavc45t7ylmurvhyd0hcht9hkdg7fz
cosmos1spe44szj45alspv47p7zss595rdd0aup0k663u,Bithumb #03,exchange,high,https://www.mintscan.io/cosmos/account/cosmos1spe44szj45alspv47p7zss595rdd0aup0k663u
cosmos1t5u0jfg3ljsjrh2m9e47d4ny2hea7eehxrzdgd,Coinbase #06,exchange,high,https://www.mintscan.io/cosmos/account/cosmos1t5u0jfg3ljsjrh2m9e47d4ny2hea7eehxrzdgd
cosmos1ty4z8vumqk7uxd43e22l974ekqj4lta0vf0qtx,Upbit #20 (Staking),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1ty4z8vumqk7uxd43e22l974ekqj4lta0vf0qtx
cosmos1ut6vfjcltr5fmlthr86vpmcxnus9keavxmstlr,Upbit #13 (Staking),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1ut6vfjcltr5fmlthr86vpmcxnus9keavxmstlr
cosmos1x8efhljzvs52u5xa6m7crcwes7v9u0nlteumau,Upbit #10 (Validator),exchange,high,https://www.mintscan.io/cosmos/account/cosmos1x8efhljzvs52u5xa6m7crcwes7v9u0nlteumau
cosmos14lultfckehtszvzw4ehu0apvsr77afvyhgqhwh,DokiaCapital #01 (Validator),validator,high,https://www.mintscan.io/cosmos/account/cosmos14lultfckehtszvzw4ehu0apvsr77afvyhgqhwh
cosmos1dtq0y9reqst7d99fd3c7x6dflh4eazm4ha8qqh,DokiaCapital #02 (Validator),validator,high,https://www.mintscan.io/cosmos/account/cosmos1dtq0y9reqst7d99fd3c7x6dflh4eazm4ha8qqh
cosmos1pyarvcy2ehrw86rcvfun34gyu2dlunnthvkc83,Bybit Reserves 69,exchange,medium,Range API v1/address
cosmos17kvae2jckzpkct78yealre3ms2gu28cdmtwsv7,cex / Bybit Reserves 68,exchange,medium,Range API v1/address
cosmos134amdum68rsfv4wpkanx253vw6zkmmfa3ssrxa,cex-cosmoshub-3,exchange,medium,Range API v1/address
cosmos10kg6knzzu9a7f3tq9y8fwmpymhyl4q4qx5xasu,cex-cosmoshub-3-10kg6k,exchange,medium,Range API v1/address
